"who"	"label"	"N"	"TP"	"TN"	"FP"	"FN"	"baccMean"	"baccLower"	"baccUpper"	"accMean"	"accLower"	"accUpper"	"sensMean"	"sensLower"	"sensUpper"	"specMean"	"specLower"	"specUpper"	"ppvMean"	"ppvLower"	"ppvUpper"	"npvMean"	"npvLower"	"npvUpper"
"wim"	"misc"	1000	551	184	2	263	0.833	0.81	0.857	0.735	0.706	0.762	0.677	0.645	0.709	0.989	0.974	1.004	0.996	0.991	1.001	0.412	0.366	0.457
"wim"	"rodent"	1000	76	887	35	2	0.968	0.944	0.992	0.963	0.949	0.974	0.974	0.939	1.009	0.962	0.95	0.974	0.685	0.598	0.771	0.998	0.995	1.001
"wim"	"human_intervention"	1000	4	799	196	1	0.802	0.614	0.989	0.803	0.777	0.827	0.8	0.449	1.151	0.803	0.778	0.828	0.02	0.001	0.039	0.999	0.996	1.001
"wim"	"meta_analysis"	1000	60	930	9	1	0.987	0.968	1.006	0.99	0.982	0.995	0.984	0.952	1.015	0.99	0.984	0.997	0.87	0.79	0.949	0.999	0.997	1.001
"wim"	"systematic_review"	1000	11	976	13	0	0.993	0.99	0.997	0.987	0.978	0.993	1	1	1	0.987	0.98	0.994	0.458	0.259	0.658	1	1	1
"wim"	"randomized_trial"	1000	20	970	8	2	0.95	0.888	1.013	0.99	0.982	0.995	0.909	0.789	1.029	0.992	0.986	0.997	0.714	0.547	0.882	0.998	0.995	1.001
"wim"	"protocol"	1000	9	985	6	0	0.997	0.995	0.999	0.994	0.987	0.998	1	1	1	0.994	0.989	0.999	0.6	0.352	0.848	1	1	1
"christiaan"	"misc"	1000	542	251	5	202	0.854	0.83	0.879	0.793	0.767	0.818	0.728	0.697	0.76	0.98	0.964	0.997	0.991	0.983	0.999	0.554	0.508	0.6
"christiaan"	"rodent"	1000	89	893	9	9	0.949	0.917	0.981	0.982	0.972	0.989	0.908	0.851	0.965	0.99	0.984	0.997	0.908	0.851	0.965	0.99	0.984	0.997
"christiaan"	"randomized_trial"	1000	31	956	5	8	0.895	0.829	0.96	0.987	0.978	0.993	0.795	0.668	0.922	0.995	0.99	0.999	0.861	0.748	0.974	0.992	0.986	0.997
"christiaan"	"human_intervention"	1000	32	796	170	2	0.883	0.831	0.934	0.828	0.803	0.851	0.941	0.862	1.02	0.824	0.8	0.848	0.158	0.108	0.209	0.997	0.994	1.001
"christiaan"	"protocol"	1000	18	959	23	0	0.988	0.984	0.993	0.977	0.966	0.985	1	1	1	0.977	0.967	0.986	0.439	0.287	0.591	1	1	1
"christiaan"	"systematic_review"	1000	25	966	7	2	0.959	0.907	1.011	0.991	0.983	0.996	0.926	0.827	1.025	0.993	0.987	0.998	0.781	0.638	0.924	0.998	0.995	1.001
"christiaan"	"meta_analysis"	1000	40	956	4	0	0.998	0.996	1	0.996	0.99	0.999	1	1	1	0.996	0.992	1	0.909	0.824	0.994	1	1	1
